,nome,estado
808,Buritinópolis,Goiás
809,Buritirama,Bahia
810,Buritirana,Maranhão
811,Buritis,Rondônia
812,Buritis,Minas Gerais
813,Buritizal,São Paulo
814,Buritizeiro,Minas Gerais
815,Butiá,Rio Grande do Sul
816,Caapiranga,Amazonas
817,Caaporã,Paraíba
818,Caarapó,Mato Grosso do Sul
819,Caatiba,Bahia
820,Cabaceiras,Paraíba
821,Cabaceiras do Paraguaçu,Bahia
822,Cabeceira Grande,Minas Gerais
823,Cabeceiras,Goiás
824,Cabeceiras do Piauí,Piauí
825,Cabedelo,Paraíba
826,Cabixi,Rondônia
827,Cabo de Santo Agostinho,Pernambuco
828,Cabo Frio,Rio de Janeiro
829,Cabo Verde,Minas Gerais
830,Cabrália Paulista,São Paulo
831,Cabreúva,São Paulo
832,Cabrobó,Pernambuco
833,Caçador,Santa Catarina
834,Caçapava,São Paulo
835,Caçapava do Sul,Rio Grande do Sul
836,Cacaulândia,Rondônia
837,Cacequi,Rio Grande do Sul
838,Cáceres,Mato Grosso
839,Cachoeira,Bahia
840,Cachoeira Alta,Goiás
841,Cachoeira da Prata,Minas Gerais
842,Cachoeira de Goiás,Goiás
843,Cachoeira de Minas,Minas Gerais
844,Cachoeira de Pajeú,Minas Gerais
845,Cachoeira do Arari,Pará
846,Cachoeira do Piriá,Pará
847,Cachoeira do Sul,Rio Grande do Sul
848,Cachoeira dos Índios,Paraíba
